Week Ending,MMTC Name,Dispensing Locations,Medical Marijuana (mg THC),Low-THC Cannabis (mg CBD),Smoking (oz)
2026-03-13,Revolution Florida,0,0,0,0.0
2026-03-13,"TheraTrue Florida, LLC",0,0,0,0.0
2026-03-20,Trulieve,165,113562009,0,52534.912
2026-03-20,MÜV,84,51773739,0,16606.979
2026-03-20,"Curaleaf Florida, LLC",70,52205296,0,15201.529
2026-03-20,Ayr Cannabis Dispensary,64,37991027,0,8162.224
2026-03-20,Surterra Wellness,45,29398868,0,8424.162
2026-03-20,Green Dragon,40,17285691,0,4723.484
2026-03-20,FLUENT,32,15515772,0,4086.457
2026-03-20,Sunnyside*,31,13376320,0,6458.166
2026-03-20,GrowHealthy,25,11428740,145,2705.48
2026-03-20,Sanctuary Cannabis,25,9365247,0,4264.475
2026-03-20,"GTI Florida, LLC",22,17812461,0,3721.358
2026-03-20,Cookies Florida,19,11697613,0,4875.435
2026-03-20,The Flowery,16,9766719,0,2777.243
2026-03-20,Jungle Boys,15,9960310,0,4988.914
2026-03-20,Sunburn,15,12302676,0,2808.036
2026-03-20,Mint Cannabis,14,3744047,1260,703.844
2026-03-20,Goldflower Cannabis,13,12837027,0,1516.009
2026-03-20,Insa - Cannabis for Real Life,9,3249813,0,1189.06
2026-03-20,One Plant Cannabis,6,2177882,0,374.011
2026-03-20,"Eden Florida, LLC",4,57996,0,30.467
2026-03-20,Fino Cannabis,0,0,0,0.0
2026-03-20,"Prosperity Medical, LLC",0,0,0,0.0
2026-03-20,Revolution Florida,0,0,0,0.0
2026-03-20,"TheraTrue Florida, LLC",0,0,0,0.0
